Date,Open,High,Low,Close,Vol.
2013-01-01,13.5,13.6,13.2,13.3,28.41K
2013-01-02,13.3,13.4,13.2,13.3,17.97K
2013-01-03,13.3,13.5,13.3,13.4,18.03K
2013-01-04,13.4,13.5,13.3,13.5,29.64K
2013-01-05,13.5,13.6,13.3,13.4,21.33K
2013-01-06,13.4,13.5,13.4,13.4,12.74K
2013-01-07,13.4,13.6,13.4,13.6,25.48K
2013-01-08,13.6,13.9,13.5,13.7,42.80K
2013-01-09,13.7,13.9,13.6,13.8,28.61K
2013-01-10,13.8,14.3,13.8,14.1,51.81K
2013-01-11,14.1,14.4,13.9,14.1,40.44K
2013-01-12,14.1,14.3,14,14.2,26.93K
2013-01-13,14.2,14.3,13.9,14.1,38.33K
2013-01-14,14.1,14.4,14.1,14.3,22.10K
2013-01-15,14.3,14.5,14,14.3,51.57K
2013-01-16,14.3,14.7,14.2,14.7,45.53K
2013-01-17,14.7,15.7,14.6,15.5,65.49K
2013-01-18,15.5,16,15.4,15.7,56.10K
2013-01-19,15.7,15.8,15.3,15.6,34.59K
2013-01-20,15.6,15.9,15.5,15.7,25.98K
2013-01-21,15.7,17,15.6,16.8,61.50K
2013-01-22,16.8,17.6,16.6,17.3,60.98K
2013-01-23,17.3,17.6,16.8,17.5,49.44K
2013-01-24,17.5,19.2,15.6,16.9,172.01K
2013-01-25,16.9,17.8,15.4,17.4,80.77K
2013-01-26,17.4,17.9,16.5,17.9,34.81K
2013-01-27,17.9,18,17.2,17.8,23.77K
2013-01-28,17.8,18.9,17.8,18.7,57.67K
2013-01-29,18.7,19.8,18.7,19.5,86.08K
2013-01-30,19.5,19.8,19.1,19.7,45.07K
2013-01-31,19.7,21.4,19.5,20.4,99.23K
2013-02-01,20.4,21.1,20.3,20.5,49.92K
2013-02-02,20.5,20.5,18,19.6,80.50K
2013-02-03,19.6,20.9,19.4,20.6,34.24K
2013-02-04,20.6,21,19.9,20.4,52.22K
2013-02-05,20.4,20.8,20.2,20.6,29.21K
2013-02-06,20.6,21.3,20.6,21.2,51.99K
2013-02-07,21.2,22.2,20.8,22.1,64.26K
2013-02-08,22.1,22.8,22,22.7,48.65K
2013-02-09,22.7,24,22.6,23.6,38.13K
2013-02-10,23.6,24.1,22.7,24,56.43K
2013-02-11,24,24.7,23.6,24.6,29.53K
2013-02-12,24.6,25.8,24.3,25.2,74.24K
2013-02-13,25.2,26.3,24.2,24.2,90.15K
2013-02-14,24.2,27.6,21.7,27.2,145.74K
2013-02-15,27.2,27.5,26.1,27.1,51.71K
2013-02-16,27.1,27.5,26.8,27.2,18.83K
2013-02-17,27.2,27.4,25,26.8,77.04K
2013-02-18,26.8,27.1,26.4,27,29.74K
2013-02-19,27,29.6,26.8,29.4,99.70K
2013-02-20,29.4,29.9,29,29.6,37.21K
2013-02-21,29.6,30,29.3,29.8,34.73K
2013-02-22,29.8,31.3,29.7,30.3,66.95K
